"TW","臺灣"
"AD","安道爾"
"AE","阿拉伯聯合大公國"
"AF","阿富汗"
"AG","安地卡及巴布達"
"AI","安圭拉"
"AL","阿爾巴尼亞"
"AM","亞美尼亞"
"AN","荷屬安地列斯"
"AO","安哥拉"
"AQ","南極洲"
"AR","阿根廷"
"AS","美屬薩摩亞"
"AT","奧地利"
"AU","澳大利亞"
"AW","阿魯巴"
"AZ","亞塞拜然"
"BA","波士尼亞及赫塞哥維納"
"BB","巴貝多"
"BD","孟加拉"
"BE","比利時"
"BF","布吉納法索"
"BG","保加利亞"
"BH","巴林"
"BI","蒲隆地"
"BJ","貝南"
"BM","百慕達"
"BN","汶萊"
"BO","玻利維亞"
"BR","巴西"
"BS","巴哈馬"
"BT","不丹"
"BV","波維特島"
"BW","波札那"
"BY","白俄羅斯"
"BZ","貝里斯"
"CA","加拿大"
"CC","可可斯基林群島"
"CF","中非"
"CG","剛果"
"CH","瑞士"
"CI","象牙海岸"
"CK","庫克群島"
"CL","智利"
"CM","喀麥隆"
"CN","中國大陸"
"CO","哥倫比亞"
"CR","哥斯大黎加"
"CU","古巴"
"CV","維德角"
"CX","聖誕島"
"CY","賽普勒斯"
"CZ","捷克"
"DE","德國"
"DJ","吉布地"
"DK","丹麥"
"DM","多米尼克"
"DO","多明尼加"
"DZ","阿爾及利亞"
"EC","厄瓜多"
"EE","愛沙尼亞"
"EG","埃及"
"EH","西撒哈拉"
"ER","厄利垂亞"
"ES","西班牙"
"ET","衣索比亞"
"FI","芬蘭"
"FJ","斐濟"
"FK","福克蘭群島"
"FM","密克羅尼西亞"
"FO","法羅群島"
"FR","法國"
"FX","法國本土"
"GA","加彭"
"GB","英國"
"GD","格瑞那達"
"GE","喬治亞"
"GF","法屬圭亞那"
"GH","迦納"
"GI","直布羅陀"
"GL","格陵蘭"
"GM","甘比亞"
"GN","幾內亞"
"GP","瓜德魯普"
"GQ","赤道幾內亞"
"GR","希臘"
"GS","南喬治亞及南三明治群島"
"GT","瓜地馬拉"
"GU","關島"
"GW","幾內亞比索"
"GY","蓋亞那"
"HK","香港"
"HM","赫德島及麥當勞群島"
"HN","宏都拉斯"
"HR","克羅埃西亞"
"HT","海地"
"HU","匈牙利"
"ID","印尼"
"IE","愛爾蘭"
"IL","以色列"
"IN","印度"
"IO","英屬印度洋地區"
"IQ","伊拉克"
"IR","伊朗"
"IS","冰島"
"IT","義大利"
"JM","牙買加"
"JO","約旦"
"JP","日本"
"KE","肯亞"
"KG","吉爾吉斯"
"KH","柬埔寨"
"KI","吉里巴斯"
"KM","葛摩聯盟"
"KN","聖克里斯多福"
"KP","北韓"
"KR","韓國"
"KW","科威特"
"KY","開曼群島"
"KZ","哈薩克"
"LA","寮國"
"LB","黎巴嫩"
"LC","聖露西亞"
"LI","列支敦斯登"
"LK","斯里蘭卡"
"LR","賴比瑞亞"
"LS","賴索托"
"LT","立陶宛"
"LU","盧森堡"
"LV","拉脫維亞"
"LY","利比亞"
"MA","摩洛哥"
"MC","摩納哥"
"MD","摩爾多瓦"
"MG","馬達加斯加"
"MH","馬紹爾群島共和國"
"MK","北馬其頓"
"ML","馬利"
"MM","緬甸"
"MN","蒙古"
"MO","澳門"
"MP","北馬里亞納群島"
"MQ","馬丁尼克"
"MR","茅利塔尼亞"
"MS","蒙瑟拉特"
"MT","馬爾他"
"MU","模里西斯"
"MV","馬爾地夫"
"MW","馬拉威"
"MX","墨西哥"
"MY","馬來西亞"
"MZ","莫三比克"
"NA","納米比亞"
"NC","新克里多亞"
"NE","尼日"
"NF","諾福克島"
"NG","奈及利亞"
"NI","尼加拉瓜"
"NL","荷蘭"
"NO","挪威"
"NP","尼泊爾"
"NR","諾魯"
"NT","中立區"
"NU","紐埃"
"NZ","紐西蘭"
"OM","阿曼"
"PA","巴拿馬"
"PE","秘魯"
"PF","法屬玻里尼西亞"
"PG","巴布亞紐幾內亞"
"PH","菲律賓"
"PK","巴基斯坦"
"PL","波蘭"
"PM","聖皮耶及密克隆群島"
"PN","皮特康"
"PR","波多黎各"
"PT","葡萄牙"
"PW","帛琉"
"PY","巴拉圭"
"QA","卡達"
"RE","留尼旺"
"RO","羅馬尼亞"
"RU","俄羅斯"
"RW","盧安達"
"SA","沙烏地阿拉伯"
"SB","索羅門群島"
"SC","塞席爾"
"SD","蘇丹"
"SE","瑞典"
"SG","新加坡"
"SH","聖赫勒拿"
"SI","斯洛維尼亞"
"SJ","斯瓦巴及尖棉"
"SK","斯洛伐克"
"SL","獅子山"
"SM","聖馬利諾"
"SN","塞內加爾"
"SO","索馬利亞"
"SR","蘇利南"
"ST","聖多美普林西比"
"SU","前蘇聯"
"SV","薩爾瓦多"
"SY","敘利亞"
"SZ","史瓦帝尼王國"
"TC","土克斯及開科斯群島"
"TD","查德"
"TF","法屬南部屬地"
"TG","多哥"
"TH","泰國"
"TJ","塔吉克"
"TK","托克勞"
"TM","土庫曼"
"TN","突尼西亞"
"TO","東加"
"TP","帝汶"
"TR","土耳其"
"TT","千里達"
"TV","吐瓦魯"
"TZ","坦尚尼亞"
"UA","烏克蘭"
"UG","烏干達"
"UM","美屬邊疆群島"
"US","美國"
"UY","烏拉圭"
"UZ","烏茲別克"
"VA","教廷"
"VC","聖文森"
"VE","委內瑞拉"
"VG","英屬維爾京群島"
"VI","美屬維爾京群島"
"VN","越南"
"VU","萬那杜"
"WF","渥里斯及伏塔那"
"WS","薩摩亞"
"XA","琉球"
"XB","納維斯"
"XC","大溪地"
"XD","其他亞洲國家"
"XE","其他中東及近東國家"
"XF","其他歐洲國家"
"XG","其他非洲國家"
"XH","其他北美洲國家"
"XI","其他中美洲國家"
"XJ","其他南美洲國家"
"XP","其他大洋洲國家"
"XL","未列名法屬中美州領域"
"XM","未列名美屬中美州領域"
"XN","未列名美屬太平洋領域"
"XO","未列名英屬中美洲領域"
"YE","葉門"
"YT","馬約特"
"YU","南斯拉夫聯邦共和國"
"ZA","南非"
"ZM","尚比亞"
"ZR","薩伊"
"ZW","辛巴威"
"ZZ","未定義的國家"
"CD","剛果民主共和國"
"TL","東帝汶"
"RS","塞爾維亞"
"ME","蒙特內哥羅"
"PS","巴勒斯坦"
"AX","奧蘭群島"
"JE","澤西島"
"IM","曼島"
"GG","格恩西島"
